gene_id,UniProtEntry,Uniprot Entry,Uniprot Entry name,Gene names,Protein names,HGNC ID,HGNC_Symbol,Approved name,IDG dark kinase,Kinhub Kinase,Manning Kinase,Group,Family,Uniprot_kinaseactivity,PfamDomain,DomainStart,DomainEnd,ProKinO,Fold_Annotation,Fold,Annotation_Score,INDRA_network,Pseudokinase
660,sp|P51813|BMX_HUMAN,P51813,BMX_HUMAN,BMX,Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38),HGNC:1079,BMX,BMX non-receptor tyrosine kinase,0,1,1,TK,Tec,1,Pkinase_Tyr,417.0,668.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.978264754,http://ndexbio.org/#/network/17362410-5e20-11ea-bfdc-0ac135e8bacf,0
673,sp|P15056|BRAF_HUMAN,P15056,BRAF_HUMAN,BRAF BRAF1 RAFB1,Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1),HGNC:1097,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",0,1,1,TKL,RAF,1,Pkinase_Tyr,457.0,716.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,6.039843503999999,http://ndexbio.org/#/network/a4a94660-5da7-11ea-bfdc-0ac135e8bacf,0
84446,sp|Q8TDC3|BRSK1_HUMAN,Q8TDC3,BRSK1_HUMAN,BRSK1 KIAA1811 SAD1 SADB,Serine/threonine-protein kinase BRSK1 (EC 2.7.11.1) (Brain-selective kinase 1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 1) (BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B) (Synapses of Amphids Defective homolog 1) (SAD1 homolog) (hSAD1),HGNC:18994,BRSK1,BR serine/threonine kinase 1,1,1,1,CAMK,CAMKL,1,Pkinase,34.0,285.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.217821762,http://ndexbio.org/#/network/af795f35-5da7-11ea-bfdc-0ac135e8bacf,0
9024,sp|Q8IWQ3|BRSK2_HUMAN,Q8IWQ3,BRSK2_HUMAN,BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12,Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (Brain-selective kinase 2) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A),HGNC:11405,BRSK2,BR serine/threonine kinase 2,1,1,1,CAMK,CAMKL,1,Pkinase,19.0,270.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.852769647,http://ndexbio.org/#/network/18dc59f0-5d8c-11ea-bfdc-0ac135e8bacf,0
695,sp|Q06187|BTK_HUMAN,Q06187,BTK_HUMAN,BTK AGMX1 ATK BPK,Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase),HGNC:1133,BTK,Bruton tyrosine kinase,0,1,1,TK,Tec,1,Pkinase_Tyr,402.0,651.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.79526442,http://ndexbio.org/#/network/b89deaea-5da7-11ea-bfdc-0ac135e8bacf,0
699,sp|O43683|BUB1_HUMAN,O43683,BUB1_HUMAN,BUB1 BUB1L,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A),HGNC:1148,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,0,1,1,Other,BUB,1,Pkinase,789.0,1003.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.8334623469999998,http://ndexbio.org/#/network/c4410b30-5da7-11ea-bfdc-0ac135e8bacf,0
701,sp|O60566|BUB1B_HUMAN,O60566,BUB1B_HUMAN,BUB1B BUBR1 MAD3L SSK1,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1),HGNC:1149,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,0,1,1,Other,BUB,1,Pkinase,750.0,1045.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.628664072,http://ndexbio.org/#/network/cf1bd266-5da7-11ea-bfdc-0ac135e8bacf,0
79012,sp|Q8NCB2|CAMKV_HUMAN,Q8NCB2,CAMKV_HUMAN,CAMKV,CaM kinase-like vesicle-associated protein,HGNC:28788,CAMKV,CaM kinase like vesicle associated,1,1,1,CAMK,CAMK-Unique,1,Pkinase,24.0,286.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.706677971,http://ndexbio.org/#/network/277d29df-5d8c-11ea-bfdc-0ac135e8bacf,1
728642,sp|Q9UQ88|CD11A_HUMAN,Q9UQ88,CD11A_HUMAN,CDK11A CDC2L2 CDC2L3 PITSLREB,Cyclin-dependent kinase 11A (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2),HGNC:1730,CDK11A,cyclin dependent kinase 11A,1,0,1,CMGC,,1,Pkinase,426.0,711.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.432784997,http://ndexbio.org/#/network/2fa29515-5d8c-11ea-bfdc-0ac135e8bacf,0
984,sp|P21127|CD11B_HUMAN,P21127,CD11B_HUMAN,CDK11B CDC2L1 CDK11 PITSLREA PK58,Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1),HGNC:1729,CDK11B,cyclin dependent kinase 11B,1,1,0,CMGC,CDK,1,Pkinase,438.0,723.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.119275847,http://ndexbio.org/#/network/20114ab6-5e20-11ea-bfdc-0ac135e8bacf,0
8317,sp|O00311|CDC7_HUMAN,O00311,CDC7_HUMAN,CDC7 CDC7L1,Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1),HGNC:1745,CDC7,cell division cycle 7,0,1,1,Other,CDC7,1,Pkinase,58.0,472.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.5030654280000002,http://ndexbio.org/#/network/280d830c-5e20-11ea-bfdc-0ac135e8bacf,0
983,sp|P06493|CDK1_HUMAN,P06493,CDK1_HUMAN,CDK1 CDC2 CDC28A CDKN1 P34CDC2,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),HGNC:1722,CDK1,cyclin dependent kinase 1,0,1,1,CMGC,CDK,1,Pkinase,4.0,287.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,4.642871356000001,http://ndexbio.org/#/network/ed42c91c-5da7-11ea-bfdc-0ac135e8bacf,0
8558,sp|Q15131|CDK10_HUMAN,Q15131,CDK10_HUMAN,CDK10,Cyclin-dependent kinase 10 (EC 2.7.11.22) (Cell division protein kinase 10) (Serine/threonine-protein kinase PISSLRE),HGNC:1770,CDK10,cyclin dependent kinase 10,1,1,1,CMGC,CDK,1,Pkinase,39.0,323.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.843219873,http://ndexbio.org/#/network/fd042433-5da7-11ea-bfdc-0ac135e8bacf,0
51755,sp|Q9NYV4|CDK12_HUMAN,Q9NYV4,CDK12_HUMAN,CDK12 CRK7 CRKRS KIAA0904,"Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)",HGNC:24224,CDK12,cyclin dependent kinase 12,1,1,1,CMGC,CDK,1,Pkinase,727.0,1020.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.449783535,http://ndexbio.org/#/network/059a79a8-5da8-11ea-bfdc-0ac135e8bacf,0
8621,sp|Q14004|CDK13_HUMAN,Q14004,CDK13_HUMAN,CDK13 CDC2L CDC2L5 CHED KIAA1791,Cyclin-dependent kinase 13 (EC 2.7.11.22) (EC 2.7.11.23) (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller),HGNC:1733,CDK13,cyclin dependent kinase 13,1,1,1,CMGC,CDK,1,Pkinase,705.0,998.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.9891917290000001,http://ndexbio.org/#/network/0c9bd73c-5da8-11ea-bfdc-0ac135e8bacf,0
5218,sp|O94921|CDK14_HUMAN,O94921,CDK14_HUMAN,CDK14 KIAA0834 PFTK1,Cyclin-dependent kinase 14 (EC 2.7.11.22) (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1),HGNC:8883,CDK14,cyclin dependent kinase 14,1,1,1,CMGC,CDK,1,Pkinase,135.0,419.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.0939611870000001,http://ndexbio.org/#/network/5f794973-5d8c-11ea-bfdc-0ac135e8bacf,0
