Q01217|3zzf
Q24451|1qx1
Q93UV0|2w8w
P00811|3gv9
P00489|1p2g
Q64822|1uxb
P00760|3rxg
O33877|4b0j
P00918|4q90
P14210|5cs3
P95468|2ay9
P04789|4tim
Q92831|5fe6
P00811|3gqz
P11838|4y3j
P00489|3l7d
P12497|4ahr
P12497|4ahs
Q9STC1|4amx
P31133|4jdf
P15379|4mre
O43175|5nzp
Q54276|1w1v
Q79FD7|2vvo
P32156|1x8d
O04379|4g0z
P0A6K3|1icj
P16932|1m0n
P0A9E0|2aac
Q8NQ97|4aci
P01112|4uru
P01112|4ury
P90498|4x11
23476|5hcl
Q05320|5jqb
P06875|1ajp
P52011|2igv
Q72498|3ao5
B8LFD6|3i3b
P08661|1rdl
P95468|2ay8
P35247|2os9
P63279|5f6v
P00800|5m9w
O43175|5nzo
P05618|1ukt
P00634|1ew8
Q72498|3ao1
P15379|4np2
P55210|5v6u
P03437|1hge
P00760|1uto
P12497|4ahu
Q2K340|4mfe
Q24451|1ps3
Q8GMG0|2rjs
P09960|3fu0
Q05115|3ip8
P95468|2ay1
P0A5R0|4ddk
P00918|5fnj
Q76353|1hyv
P06820|1inh
P90551|1jdj
P90551|1n1g
Q64823|1uxa
Q54276|1w1p
P95468|2ay7
P00811|2hdu
Q9K5F2|2xlc
P00722|3dyo
P00730|3kgq
P00749|3mhw
P00436|3pcg
P24182|3rv4
P26663|4b6e
P00918|4e3d
O04379|4g0y
P00918|4jsz
T2LG16|4led
P30305|4wh7
Q8WWQ0|5enc
Q8WWQ0|5eni
Q8WWQ0|5enj
P51449|5g42
P16932|1m0o
B7GVP4|4y0a
A9SS48|5mz8
Q8GMG0|2qve
P04637|5aol
P61823|1z6d
P48825|4iie
P01556|5elf
P06565|1qi0
P00811|3gtc
P0A988|4k3k
P11838|4y3y
Q9L5C8|3g2z
P00722|3t0d
P17931|4jck
P00651|6rnt
P20906|3f6e
P04642|4aj2
P44539|1f73
P18031|1nwl
Q15485|4nyt
D0PY27|4tya
P07900|2wi1
P61823|3dxg
P00489|3l7b
P00436|3pcb
P09382|3t2t
P52293|4u5l
P11838|4y38
P56817|4zsm
P31553|2wsx
P52293|4u5s
P52293|4u5o
P15057|1oba
P07824|1t4s
Q8Y8D7|2i2b
P04825|3ked
P00489|3l7c
P05089|3mjl
Q2TLC1|4d62
Q60631|1gbq
Q93X60|2aez
P00489|3l79
P12497|4ah9
P0A5R0|4ddm
P08709|4x8u
P11142|5aqh
P00509|1tok
P35031|1utl
P04062|3rik
Q9BZ95|4gne
P11838|4y4j
Q96LI5|5dv4
Q13093|5jal
P31992|1gyx
P52293|4u5n
P11838|4ze6
P00760|5mn1
P00760|5mnb
P00760|5mnx
P00760|5mon
P0A5R0|4efk
P00489|4ej2
P00811|4kz7
P06875|1ai4
Q9L5C8|3g30
A9LIE0|4ctj
P64170|1rq2
P10538|1wdr
Q50LF0|3ad7
Q9WZY5|3bf1
P24630|3fq7
P00811|3gr2
P05089|3mfv
P00722|3vdb
P00918|4e3f
O04379|4g0q
P01112|4urz
P63279|5f6d
P63279|5f6u
P08263|4hj2
P96965|1iup
P02879|1il3
Q7SIB7|1kf0
Q01693|3b3s
Q72498|3ovn
P27915|5eif
O43175|5n53
P14769|1gwv
P35247|2ria
B4EH86|2wq4
P00749|3kgp
P19440|5v4q
P95468|2ay5
------|2jst
P00811|3gvb
P19491|4o3a
P19491|4o3c
Q6WJ03|4wef
P10845|5tpb
Q48255|2c4v
Q9VHA0|2r5a
O67854|3gwv
P00760|3rxf
Q9BRQ0|4up5
P51449|5g46
P00509|1cze
Q54276|1w1y
Q9H4M9|2kfh
P02791|3f37
P02791|3f38
P0A6D3|3fk1
P00760|3rxl
P12425|4lnf
P12425|4lno
Q99YP9|5foo
P00800|5lvd
P06875|1ajn
P51698|1g5f
Q92793|3p1d
P13491|4i8x
P00918|4q7w
P00918|4q8y
P54818|4ufl
A7X1N2|5ey0
P02879|1il5
O29777|3a1e
P00760|3rxb
P34913|4y2p
Q57193|5eld
P32477|3lvw
P03437|1hgi
P0A7Z0|1o8b
O67854|2q72
P00760|3rxk
O74036|4b3c
O74036|4b3d
P11142|5aqj
P11142|5aqp
P62617|3elc
Q96PN6|4usw
P41180|5k5s
P02879|1br5
P14262|1gym
P32890|1lt5
Q27796|1tc1
P05373|1ylv
P0A786|2fzc
P21836|2ha4
P63316|2krd
P56817|2ohk
Q24451|2ow6
P0AGL2|2uyn
P56817|3bra
P09960|3ftz
P09960|3fud
P09960|3fuf
P09960|3fuh
P02638|3gk2
P00811|3gsg
P56817|3hvg
E0SJQ4|3rqw
Q8I384|3sl0
Q76353|3zsw
Q76353|3zsz
Q76353|3zt1
P49902|4h4b
P00811|4okp
P00811|4old
Q9I194|4wks
Q4DA54|4ypf
Q4DA54|4yrc
Q4DA54|4yrg
Q4DA54|4yrr
P04637|5aok
P43889|4kpz
P00959|1pfu
P07379|2rkd
D3GV56|3p4r
C9ZP98|5fsx
P11064|1dg9
P03472|2qwb
Q9UQR0|2vyt
P11444|4m6u
A7UNK4|4ndu
O31156|1rql
P00734|1ny2
P23616|4bt5
P02638|5er4
Q7D737|2bet
Q9WLZ8|2p3o
P00800|3fcq
P11172|3l0n
O75940|4a4h
P0A5R0|4g5y
P00811|4kz3
P01112|4urv
A0A0R4|4ykk
P11142|5aqn
------|5oug
Q9F8A8|2yiv
P09960|3ftw
Q4DA54|4yrt
P18031|2bge
P00760|2bza
Q76353|3zt4
P00811|4kz8
P01112|4urw
A0A0H2|4yw2
P00746|5fbi
O74036|5fov
P9WHK9|5hki
O43175|5ofw
P00669|3djx
A5K8L9|4oyt
Q58597|4rrg
P00509|1czc
Q27796|1p17
Q873X9|2a3a
P35247|2rib
P24182|2w6z
Q9NWT6|2yc0
P09960|3fue
P39900|3lka
O32243|3ppr
P01116|4dsu
P30044|4k7i
Q9KPL5|4pb1
P00698|4z46
Q7DD70|5aip
Q97Q99|4yz5
P09960|3fu3
P07379|3moh
Q76353|3zt2
Q76353|4cgj
P02879|1il4
P03960|2a29
P35247|2ork
P00760|3atk
Q72CX3|3k3g
P00760|3rxa
P56817|3udh
P27694|4luv
P00918|4mlt
V8BWT1|4x47
P56470|4ym2
P11142|5aqo
P00918|5th4
Q9UKV8|3qx8
Q76353|3zt3
B1INP8|4ouj
Q9KPL5|4pd5
Q6T755|4fgz
P00918|5thj
P00772|1e34
Q59643|2woq
O75940|4a4f
P43813|4ucv
Q27743|1cet
P04789|1iih
Q7SID2|1ugp
Q9NVD7|2k2r
P0A6L4|2wpb
P31677|2wtx
P02791|3f36
Q9L5C8|3g31
O74036|4b35
A5H1I6|4cd8
P04746|4gqq
P00811|4kzb
Q9Y233|4llx
P52293|4u5u
P01112|4urx
P60487|5aes
P00918|5flt
Q9NPD8|5ngz
P0A6I6|6b7b
O52575|3c2u
P04637|5aom
Q96LI5|5dv2
Q26964|1ms0
P95468|2ay4
P00489|2pri
P16442|4kc1
P32890|1eef
Q969Q7|1h2k
P09598|1p6e
P22894|1zp5
P0A6D3|2aa9
P0A6D3|2aay
P26276|2fkf
Q2QJL3|2fw6
Q2QJL3|2fwp
Q9H4M9|2kfg
Q7M4F9|3alt
Q9F4L3|3iaf
A1BTJ7|3k8c
Q6G8R1|4ai5
P0A5R0|4ef6
Q9Y233|4lm3
P19491|4u4s
P03089|4x14
P34913|4y2q
C6VIM1|4zki
P98170|5c0k
P14210|5ct2
P41182|5x4m
P00760|1tng
P09960|3ftv
------|4zv2
P09598|1p6d
P42530|2vmc
P16442|4y62
P0A884|1f4e
Q54276|1w1t
P00436|1ykp
Q7B8C3|2br6
P63316|2kdh
Q93UV0|2w8j
Q9L5C8|3g34
P0A5R0|3imc
P0A5R0|3img
Q6DQ34|4bgy
P01116|4dst
P0A988|4k3l
P15379|4mrg
P66992|4owm
P00918|5fng
O67972|2hw2
Q76353|4ceb
P00918|5flq
Q92831|2rnw
Q8A1G2|3ckb
P00669|3djq
Q05127|4ibc
P04637|5aba
P11142|5aqu
P06999|3ump
Q16637|4a4g
Q9KID9|4bps
P76637|1ecq
P07824|1hqg
P20906|1mcz
P45796|1ux7
P00734|1wbg
P18670|1ws4
Q9WYW0|1yc5
Q9N0A4|1z9h
Q9XZT6|1zm7
Q24451|2f1b
Q43088|2h2e
5163|2q8h
Q02206|2r0y
P07379|2rka
Q63226|2v3u
P00749|2vin
Q9NWT6|2wa3
Q8PC69|2xgm
Q8PC69|2xgo
Q13526|2xp3
Q5SIJ0|2ych
O00214|3ap7
Q9UPN6|3d9o
Q9A0M7|3eka
P00811|3grj
P0A5R0|3ime
Q76353|3nf8
P00760|3nk8
------|3ob0
O74036|4b2i
G8JZS6|4fe9
Q47200|4k0o
P23946|4k5z
A8HWY8|4k64
Q9HD26|4k72
P76141|4l51
P76141|4l5j
V5IRU7|4lkh
Q9Y233|4llk
F0TRT1|4m5r
O94925|4o7d
Q96PN6|4oyp
Q96PN6|4oz2
A5MTN0|4r3w
D0PY27|4txs
O34817|4u0w
P30305|4wh9
Q6PL18|5a5o
P11142|5aqr
P98170|5c7b
P00918|5ehw
Q9Z2X8|5fnq
Q13093|5jah
Q9UIF8|5l97
Q13093|5lz2
P10845|5tpc
Q6MZV7|5u66
P51698|1g42
P35031|1utm
O04379|4g0p
Q13093|5jan
P42530|2vmd
P0A544|3dc2
P09960|3fuk
P00918|4q81
P15917|4xm8
P36946|1ogd
P18670|1ws5
P35247|2ggu
P21836|2ha3
P37231|3adv
P62617|3esj
Q9Y233|4lm2
P04637|5aoi
P00750|1rtf
Q9UI42|2pcu
Q58293|3ay0
P00722|3t08
P17931|3t1m
P00720|4i7k
Q9Y233|4lm4
P00918|5fls
P44539|1f74
P00772|1gvk
Q59643|1gzg
P81446|1pum
Q72J47|1uj5
Q72J47|1uj6
P56817|2ohl
O60760|2vcw
P0A5R0|4g5f
P58687|4guj
P52293|4u5v
Q89ZI2|5abe
P14900|2jfh
P25103|2ksa
P00760|3atm
P56817|3hw1
P00760|3rxi
P00760|3rxj
P16581|4csy
P01112|4nyi
P61823|1rnm
P40136|1s26
P07379|3mof
Q4DA54|4yrs
P22887|1hiy
P35439|1y1z
Q4DA73|4yv1
P00918|5ehv
P11444|1mdl
P18670|1ugw
P03354|1a5v
P0ABF6|1af2
P76637|1ec9
O25323|1pu7
O25323|1pu8
P03069|1swi
P07900|2xdl
P56817|3buf
P20701|3f78
P55201|3mo8
Q76353|4cjr
P41811|4j79
P00811|4kz6
Q4V3E2|4pl6
P02699|4pxf
P34913|4y2j
P16442|4y64
P11142|5aqq
P49902|5cr7
P00918|5eh8
Q8WZA1|5ggo
P01556|5lzg
Q57193|5lzh
P00766|1k2i
P76015|1uod
P95468|2ay6
Q9H7E2|2lto
P01112|2lwi
P43619|3c2r
P56817|3msj
P04642|4aj1
P04642|4ajk
Q4WW81|4d52
P0AGF4|4gbz
C5WBA2|4wf4
Q8WWQ0|5enb
P00772|1h9l
P25103|2ksb
P23616|4bt3
Q76353|4cgi
P43813|4uct
P11021|5ey4
P16404|1ax0
Q13526|3kac
Q84406|5c5t
Q24451|2f1a
B2DJD9|2ya7
Q13526|3odk
O74036|4b34
P29736|1e6q
Q57193|1eei
P46937|1k9q
P00489|1noi
P00489|1noj
P00489|1nok
P02867|1rin
Q60164|2fr8
P02879|2p8n
P14147|3cgy
O43813|3e73
P0A5R0|4de5
P0A5R0|4fzj
P27694|4lw1
P90498|4x0z
------|5e5g
P00918|5flo
P07900|5fnf
Q8WSF8|2ymd
Q50LF0|3ad8
O60658|3ecn
P02791|3f34
P02791|3f35
P11086|3kpu
P02638|3lk0
Q4V3E2|4pli
P41182|5n1x
P11444|4hnc
P03418|4uce
Q63053|4x3i
O74036|5fot
O74036|5fox
P03474|1b9s
P09211|1lbk
Q9LAK3|1ro7
P06276|2wik
P0A786|3at1
P56817|3bug
P00749|3kid
P11797|1o6i
5166|2zdx
P61823|3dxh
O26232|3g1v
K7N5N3|4gzx
P00918|4mlx
P16404|1axz
23476|2nd0
Q9NWT6|2w0x
P06276|2wij
Q13526|3kab
Q6P6C2|4nrm
O06842|5d9p
P00918|5flp
P22887|1s5z
P09960|3fty
P9WMC1|5mwo
P04789|6tim
P02879|1br6
P29736|1e6s
P29736|1e72
Q03173|1evh
P00634|1ew9
O32462|1k1y
P0A6Y8|1q5l
Q24451|1qwu
P00509|1tog
P0A715|1x6u
P16932|1zc9
Q7NX84|2bv4
P31723|2ri9
P29029|2uy3
Q9AMP1|3aru
Q8K419|3i8t
P55212|4n5d
Q6PL18|4tyl
Q5PPM0|4wn0
P01892|5n1y
P00722|1px4
P22069|2gmk
Q76353|3zsy
P16442|4kc4
Q9Y233|4lm1
P9WKE0|4unp
Q8WWQ0|5ene
Q6S996|2r8q
O66264|3qfz
O74036|4b2l
P23946|4k60
P27694|4luo
Q75I93|4qlk
P34913|4y2u
B1MDL6|5o0a
P00760|1v2j
P0AEG4|2ndo
O28524|3ta1
Q9Y233|4lm0
P0AEG4|4zij
P06737|1l5s
P17931|3t1l
P07900|4egh
A8HWY8|4k66
Q9I194|4wkt
P52704|5yas
P00489|1axr
P0A5R0|3ioe
O15570|4jbl
------|5jzs
P9WI55|5kdf
P00734|1bcu
P0A9M2|1g9t
P60472|1x07
Q8PC69|2xgs
Q24451|3d52
P00489|3ms4
P0A4X6|3tfu
Q76353|3zsx
Q4DA73|4yv0
Q7N561|5odu
P16404|1ax1
Q6GDH2|4f20
P56470|5duw
P62942|1d7j
P46937|1k9r
P32890|1lt6
P0A715|1phw
P00940|1tpw
P34913|1zd2
P34913|1zd3
P0A953|2aq7
P0A953|2aqb
Q53Y40|2hd1
O60341|2uxx
Q54727|2vw2
P68693|2w0s
Q9H3R0|2xml
Q5ZUA2|3aaq
P12497|3avg
P12497|3avh
P12497|3avi
P12497|3avj
P12497|3avk
P12497|3avm
P12497|3avn
Q873X9|3ch9
O95503|3gv6
B1UXN2|3h2c
P04271|3hcm
O95503|3i90
Q9HC52|3i91
Q44238|3l7g
P14324|3n1v
P14324|3n1w
P14324|3n3l
P14324|3n45
P26663|4b6f
P0A5R0|4ddh
P00797|4gj8
P00797|4gj9
P30405|4j58
P00918|4jss
Q9Y233|4mrw
Q9Y233|4msa
P15379|4np3
K4KA16|4ojq
Q8A5P6|4oue
Q6PL18|4tz8
P53582|4u6e
P43813|4ucr
P90498|4x13
Q8VDS3|5ejw
P51449|5g45
Q8WZA1|5ggp
Q9UIF8|5l96
Q9UIF8|5mgg
Q9UIF9|5mgl
Q9UIF9|5mgm
P00746|5mt0
P00746|5mt4
Q8N884|5vdo
Q8N884|5vdr
Q8N884|5vds
P00808|1i2s
P62593|1pzp
P00489|3msc
P16442|4kc2
P98170|5c7a
Q92831|5fe7
Q9UIF8|5l98
P62593|1pzo
P19971|2wk6
Q16637|4a4e
Q76353|4cjp
P00720|4i7j
Q9UIF8|5l99
Q8RLA6|5tg4
P00720|188l
Q26998|1jlr
Q873X9|2a3b
Q29437|2pnc
P00760|4ab9
O33877|4b0b
B1IS70|4b5t
B1IS70|4b5w
P23946|4k2y
Q9KPL5|4pd9
P61823|2xoi
P02791|3f33
Q5F4T5|3ry8
O74036|4b32
P23616|4bt4
P22887|4cp5
P52209|4gwk
Q4DA73|4yuy
P27915|5ehi
P11172|2qcm
P43619|3c2o
A5MTN0|3pwk
P47929|3zxe
Q9BZ95|4gnf
Q9HD26|4joh
Q9Y233|4lkq
C6VIM1|4u7o
P43813|4ucu
C5WBA2|4wet
P00509|1ahy
P21836|2ha7
Q04609|2pvv
Q97VT7|2vc7
P12497|3av9
Q01217|3zzh
Q76353|4cj4
P61823|4wyp
P00720|187l
P00760|1tnh
P00760|1v2u
P00760|1v2v
Q04609|2c6g
Q62940|2n8t
P61823|3d8z
P16404|3n35
O74036|4b33
P15379|4mrd
------|1z34
P0A786|2fzg
P02768|3a73
P0C6Y8|3tay
O26232|3w07
Q75I93|4qll
P51161|5l8o
P00509|1toj
P09211|2j9h
P00489|3mrx
Q97S37|4ipn
P07650|4lhm
Q9Y233|4ms0
P9WNH5|5jzb
P61626|5lsh
P9WMC1|5mxk
P00968|1bxr
P03472|1f8d
Q24451|1hxk
P51659|1ikt
P02879|1il9
Q9K578|1jt1
P00720|1l83
P00953|1m83
Q6QT42|1uz4
P00734|1way
P00720|220l
P00720|223l
Q5T5N2|2jbu
O75351|2jqk
5165|2q8i
P11172|2qcd
Q92831|2rnx
P61823|3d8y
O75530|3jzh
O75530|3k26
P00760|4abe
P36544|5afl
P0A7Z4|5uah
P04789|2v2c
P0A530|3nba
P52704|4yas
Q76353|1hyz
Q6HT60|2qtn
P29768|2sim
P02743|2w08
P0A5R0|3iob
P11086|3kqp
Q9ESU6|3muk
D6MWP9|3px9
I6Y8T4|4c71
C3P9L8|4d8a
Q9Y233|4llj
P00489|4mi9
P66992|4n8q
B2ZB02|5i38
P00489|1kti
O75400|1ywi
Q48255|2c57
P06276|2wig
P61823|2xog
P43912|3axz
P00489|3ms7
A8HWY8|4k67
J7HJM3|4kw6
P11142|5aqv
P27915|5ehg
Q13526|2xp5
Q9AMP1|3as2
A9PKC6|4b4n
Q9K169|4umc
P19812|3nik
I6Y8T4|4c6z
P17169|1moq
P18031|1t48
P07900|2wi2
P07900|2wi3
P15273|3blu
P0A5L6|3dla
B8LFD6|3muz
P19812|3nil
O75936|4bhf
P0AGF4|4gby
O96935|4k5p
Q6P6C2|4nrq
Q6PL18|4tz2
P00489|3mtd
Q76353|3nf7
O28524|3ta0
Q5M4H8|4d2d
P01116|4epy
P00749|4h42
P34913|5ai4
P00800|5ma7
Q62735|1osv
P04789|1tsi
P00734|2c90
Q9Y3R4|2f10
Q91HI9|2p3i
Q9UPN6|3d9m
O26232|3g1d
P77526|3gx0
P23360|3nyd
P30044|4k7n
P00918|5eh7
P00918|5fni
------|5xg5
P00734|1c5o
P83410|1gzc
Q57193|1pzj
P00760|1utn
P35247|2ggx
P11172|2qcf
P00491|3d1v
P02743|4avs
B1IS70|4b5s
P01112|4nyj
P34913|5ak6
P03951|5eok
P07900|5fnd
P03951|5i25
P13051|3fcl
P00720|4i7p
Q92793|4n3w
C5WBA2|4wey
P83410|1gz9
P56817|2ohm
Q206Z5|2r0h
I6XBW5|4lpf
P11142|5aqt
P14210|5cp9
Q6XEC0|5dtt
8805|5h1u
P12955|5m4q
P01343|1imx
P24247|1jys
Q07817|1ysg
Q24451|2fyv
P04789|2j27
Q54727|2vw1
P30803|3c14
Q7M0R2|3lcu
P05089|3mfw
A5HZZ9|3qw6
Q60597|3tf7
P21836|3zlv
I6Y8T4|4c70
P00489|4eky
P03147|4g93
P02879|4hv7
Q9Y233|4mrz
Q96PN6|4oyo
P31947|4y5i
Q9IAT9|5vfn
P46922|2b4m
P14900|2y67
P12497|3avf
P19491|3h06
Q76353|3nf6
Q9HD26|4nmr
P41222|4orx
P41222|4ory
P00720|185l
Q7SIB7|1vjd
Q7X2H8|2jbv
A0AED4|2o9v
P15273|3blt
P15273|3bm8
Q76353|3nf9
Q99816|3obq
Q9BZ95|4gng
Q8WZA1|5ggk
Q9FD68|5v2l
P00760|1v2r
P95468|2ay3
P00929|2cle
P00929|2clf
P00929|2clm
P08839|2hwg
Q9NYZ4|2n7b
P03472|2qwc
O60341|2xah
C4XAX5|3pjg
P50225|3qvu
P04642|4aji
P0A988|4k3m
P0A988|4mjr
P0A988|4n98
P01112|4nym
G8UY02|5btx
Q6XEC0|5dts
Q6XEC0|5dva
O74036|5fpk
Q9UIF8|5l8t
P20273|5vkm
P06968|2hrm
23476|2lsp
P69834|2ycm
Q9HD26|4joe
Q09431|1h46
P01903|1jwm
P07686|1np0
P63316|2l1r
Q8CGF7|2rly
P02879|3ej5
Q9Y3Q0|3ff3
P00760|4abg
Q76353|4ck3
Q05127|4ibb
P00918|4q8x
P15917|4xm7
P04637|5a7b
Q8WWQ0|5enf
P9WNH4|5jz9
Q7SIB7|1vjc
Q24451|3dx1
I6ZUH3|4g19
P16442|4y63
Q96RI1|5q1g
P0A7Z4|5ual
P14769|1gww
P09989|1nli
Q8PIS1|2gsu
P17931|2nn8
P28907|2pgj
P28907|2pgl
Q8I384|3sl1
A3LHH1|3x1k
A5H1I6|4cd6
Q76353|4cjq
P0A988|4k3r
P00918|4q7v
C7BLE4|5mxf
P0A6F3|1bo5
P40347|1d1p
P62942|1d7i
P0A434|1qw7
Q00955|1uys
P05373|1w31
P34913|1zd4
P27487|2bgr
P0A786|2fzk
O75164|2oq6
O67854|2q6h
P11172|2qch
P00693|2qpu
Q91Y44|2wp1
P07900|2xdk
P14900|2y68
Q6WY08|3afk
P94458|3b3x
Q41009|3bb1
Q9UR30|3g0i
P50440|3jdw
P56817|3kn0
Q6WY08|3m3o
P0A5J2|3pke
P00722|3t2p
O74036|4b3b
Q4WW81|4c1y
23476|4meo
23476|4meq
P35747|5dqf
Q92831|5lvr
------|5ujv
P00489|8gpb
P0A9M2|1g9s
Q9H4M9|2kff
P63316|2l98
P14769|2vfz
P09960|3ftu
B0B0V1|3jzj
Q8GPH6|3sk2
P22681|4a4c
Q9BX66|4ln2
P46934|5c91
V9HWF5|5lud
P00918|5thi
P35439|1pb9
P00436|3pcc
Q7D785|3st6
P56817|3udj
Q15370|4bkt
5315|4fxj
Q9UIF8|4nrc
Q58597|4rrf
P0C6X7|4wy3
6872|4yym
P09960|3fuj
O75530|3jpx
P00760|3rxm
O67854|4mm7
Q15562|5dqe
P31992|1gyy
P0A3R9|1j5i
P18031|2azr
Q44177|2pem
P03472|2qwg
P07379|2rk8
D6MWP9|3px8
P58687|4gui
P58687|4iuo
Q01454|5hog
P03474|1b9v
Q6DLV0|3vws
P04637|4agl
O25255|4y4v
P11142|5aqk
P0ACB2|1l6y
Q6GFF9|2qv7
Q92793|2rny
P11838|2v00
P56817|3buh
P11172|3ex6
P00491|3iny
P09382|3oy8
P00436|3pcn
P00722|3t2q
Q81W29|3tsd
Q6G8R1|4aia
P55072|5b6c
Q8WZA1|5ggn
D6D1V7|5m17
Q62230|2bve
P09960|3fts
B1UXN2|3h2m
B1UXN2|3h2n
Q76353|4cig
Q05127|4ibd
Q9BX66|4lnp
R4RZI6|4mww
P0A988|4n99
P02638|5er5
B6AA20|5fog
B6AA20|5fol
Q8N884|5vdq
P81989|1c3x
Q12933|1qsc
Q9AYY6|2x6x
Q8T6J6|2za3
P0A5R0|3ioc
P0A5R0|3isj
Q834R3|3uwl
P04642|4aje
E9P5T5|4io7
P19491|4isu
P02879|4mx1
P41222|4oru
Q6DLV0|5f3t
O95400|1l2z
P02701|2a8g
Q98GN8|3clp
P61823|3d7b
Q2PHL4|4gwi
U6NCW5|4ovg
Q6PL18|4tte
P34913|5ai0
P02638|5dkn
P19999|1bcj
P00772|1e37
Q61830|1fwu
P23368|1gz3
P23368|1gz4
P36918|1h0r
Q9ZPL5|1i43
O26232|1loq
P56252|1pdz
P07900|1uy6
P07900|1uy7
P07900|1uyd
P07900|1uye
Q15080|1w70
P08819|1wht
P01751|2bjm
O22321|2bmz
P00734|2bvr
P00760|2fx6
P11172|3ex2
P09960|3ful
Q9H2A1|3kd7
P56817|3l59
P00489|3mrt
P0A4Z6|3n7a
Q9NRK6|4ayt
Q9NRK6|4ayx
5315|4b2d
P00811|4kza
P56817|4l7h
P56817|4l7j
Q9X1X0|4o4k
Q95460|4pji
Q9KAX3|5c6o
Q5F9J8|5c6p
P55201|5c87
P55201|5dy7
P55201|5dya
P55201|5em3
P55201|5eva
P55201|5ewd
P51449|5g43
Q6DLV0|5hn0
P09211|5j41
Q14653|5jer
Q8N884|5vdu
Q8N884|5vdv
Q8N884|5vdw
Q6JP77|2vfk
Q0PBL7|3fj7
Q9L5C8|3g32
P34913|3wkc
O96935|4k5m
P0A988|4mjq
P06875|1ai5
Q61830|1fwv
P08200|1grp
P18670|1ugy
P27115|2am4
P61964|2h9p
Q52L64|2r23
Q9NWT6|2yde
Q42975|3f5l
P00489|3ms2
Q460N5|3q6z
Q9HD26|4jog
Q03555|4tk1
Q03555|4tk2
P00800|4tln
P54818|4ufm
Q8WWQ0|5enh
P00651|1b2m
P00760|3ati
Q0PBL7|3fjg
Q14781|3h91
P00760|3rxd
Q9NTG7|4fz3
Q4WAW9|4y5s
P00749|1f5k
P56649|1ihy
Q9RIK9|1oh4
Q9UJY5|2dwx
P15445|2wq5
Q13526|2xp4
P11086|3kpv
P00489|3mrv
O14593|3v30
Q9WYW0|4bv2
C5MK56|4pre
Q92793|4yk0
Q4DA73|4yux
8019|5a7c
O88703|5khj
Q3HTL6|2iyf
P00489|2pyi
P61823|3d6p
P00492|3gep
Q9HV14|4kov
Q7NDN8|5l4h
------|5ldo
Q56F26|2x09
P61823|3d6q
I6Y8T4|4c6x
Q6PL18|4tu4
P00720|4w52
P02766|5jid
Q5SMG8|5x9h
Q15047|6bhh
O57413|1kui
P15555|1mpl
P14900|2uuo
P04789|2v2h
O60341|2xaj
Q7Z8V1|2y9g
